Company,Industry,Tier,Stage
American Airlines,Airlines,1,Lost
Best Buy,Retail,1,Not contacted
Airlo,Telecom & eSIMs,1,Not contacted
Delta Air Lines,Airlines,1,Contacting
Boss Revolution (IDT),Telecom & eSIMs,1,Not contacted
ComCast,Telecom & eSIMs,1,Contacting
WOM,Telecom & eSIMs,1,Not contacted
Lowe's,Retail,1,Contacting
Bait,Telecom & eSIMs,1,Not contacted
Tripadvisor,Digital Products & Subscriptions,1,Contacting
Surf Telecom,Telecom & eSIMs,1,Not contacted
Virgin Mobile Latin America,Telecom & eSIMs,1,Not contacted
edX (2U),E-Learning & EdTech,1,Not contacted
Platzi,E-Learning & EdTech,1,Not contacted
Domestika,E-Learning & EdTech,1,Not contacted
Poliglota,E-Learning & EdTech,1,Not contacted
UBITS,E-Learning & EdTech,1,Not contacted
Kiwify,E-Learning & EdTech,1,Not contacted
Código Facilito,E-Learning & EdTech,1,Not contacted
DEV.F,E-Learning & EdTech,1,Not contacted
Bedu,E-Learning & EdTech,1,Not contacted
Desafío Latam,E-Learning & EdTech,1,Not contacted
Digital House,E-Learning & EdTech,1,Not contacted
Slang,E-Learning & EdTech,1,Not contacted
AmazingTalker,E-Learning & EdTech,1,Not contacted
MindHub,E-Learning & EdTech,1,Not contacted
Passline,Event & Travel Ticketing,1,Not contacted
Boletia,Event & Travel Ticketing,1,Not contacted
TuBoleta,Event & Travel Ticketing,1,Not contacted
Puntoticket,Event & Travel Ticketing,1,Not contacted
Joinnus,Event & Travel Ticketing,1,Not contacted
Eventbrite,Event & Travel Ticketing,1,Not contacted
Ingresse,Event & Travel Ticketing,1,Not contacted
Ticket360,Event & Travel Ticketing,1,Not contacted
Ticketplus,Event & Travel Ticketing,1,Not contacted
Bilheteria Digital,Event & Travel Ticketing,1,Not contacted
Ticketera,Event & Travel Ticketing,1,Not contacted
TicketMundo,Event & Travel Ticketing,1,Not contacted
Tickeri,Event & Travel Ticketing,1,Not contacted
Uber,Mobility & Ridesharing,1,Not contacted
DiDi,Mobility & Ridesharing,1,Not contacted
99,Mobility & Ridesharing,1,Not contacted
Kavak,Mobility & Ridesharing,1,Not contacted
Picap,Mobility & Ridesharing,1,Not contacted
Mottu,Mobility & Ridesharing,1,Not contacted
Blacklane,Mobility & Ridesharing,1,Not contacted
Awto,Mobility & Ridesharing,1,Not contacted
Turbi,Mobility & Ridesharing,1,Not contacted
Kinto Share,Mobility & Ridesharing,1,Not contacted
Avianca,Airlines,1,Not contacted
Gol Linhas Aéreas,Airlines,1,Not contacted
Azul,Airlines,1,Not contacted
Copa Airlines,Airlines,1,Not contacted
LATAM Airlines,Airlines,1,Not contacted
Aeroméxico,Airlines,1,Not contacted
Aerolíneas Argentinas,Airlines,1,Not contacted
Sky Airline,Airlines,1,Not contacted
Caribbean Airlines,Airlines,1,Not contacted
Boliviana de Aviación (BoA),Airlines,1,Not contacted
EasyFly,Airlines,1,Not contacted
SATENA,Airlines,1,Not contacted
Cayman Airways,Airlines,1,Not contacted
Bahamasair,Airlines,1,Not contacted
ClickBus,Passenger Transport & Ticketing,1,Not contacted
Buser,Passenger Transport & Ticketing,1,Not contacted
Quero Passagem,Passenger Transport & Ticketing,1,Not contacted
Reservamos,Passenger Transport & Ticketing,1,Not contacted
Pinbus,Passenger Transport & Ticketing,1,Not contacted
redBus,Passenger Transport & Ticketing,1,Not contacted
Trainline,Passenger Transport & Ticketing,1,Not contacted
Grupo ADO,Passenger Transport & Ticketing,1,Not contacted
ETN Turistar,Passenger Transport & Ticketing,1,Not contacted
Primera Plus,Passenger Transport & Ticketing,1,Not contacted
Expreso Brasilia,Passenger Transport & Ticketing,1,Not contacted
Cruz del Sur,Passenger Transport & Ticketing,1,Not contacted
Andesmar,Passenger Transport & Ticketing,1,Not contacted
Turbus,Passenger Transport & Ticketing,1,Not contacted
DeÔnibus,Passenger Transport & Ticketing,1,Not contacted
PasajeBus.com,Passenger Transport & Ticketing,1,Not contacted
BUSPORTAL,Passenger Transport & Ticketing,1,Not contacted
Copetran,Passenger Transport & Ticketing,1,Not contacted
Bolivariano,Passenger Transport & Ticketing,1,Not contacted
CIVA,Passenger Transport & Ticketing,1,Not contacted
Pullman Bus,Passenger Transport & Ticketing,1,Not contacted
Flecha Bus,Passenger Transport & Ticketing,1,Not contacted
Viação Cometa,Passenger Transport & Ticketing,1,Not contacted
Tica Bus,Passenger Transport & Ticketing,1,Not contacted
OYO,Hospitality & Lodging,1,Not contacted
Casai,Hospitality & Lodging,1,Not contacted
Meliá Hotels,Hospitality & Lodging,1,Not contacted
RIU Hotels & Resorts,Hospitality & Lodging,1,Not contacted
Iberostar,Hospitality & Lodging,1,Not contacted
Barceló Hotel Group,Hospitality & Lodging,1,Not contacted
Grupo Posadas,Hospitality & Lodging,1,Not contacted
Decameron,Hospitality & Lodging,1,Not contacted
Grupo Xcaret,Hospitality & Lodging,1,Not contacted
Karisma Hotels,Hospitality & Lodging,1,Not contacted
Palladium Hotel Group,Hospitality & Lodging,1,Not contacted
GHL Hoteles,Hospitality & Lodging,1,Not contacted
NH Hotel Group (Minor),Hospitality & Lodging,1,Not contacted
Atlantica Hospitality Intl,Hospitality & Lodging,1,Not contacted
Hoteles Estelar,Hospitality & Lodging,1,Not contacted
