Company Name,Website,Industry,HQ Country,Notes
Etsy,etsy.com,Ecommerce / Retail,USA,
Nike,nike.com,Ecommerce / Retail,USA,
Fanatics,fanatics.com,Ecommerce / Retail,USA,Message drafted - cold
Fiverr,fiverr.com,Ecommerce / Retail,USA,Scheduled with subcompany AutoDS
Lululemon Athletica,shop.lululemon.com,Ecommerce / Retail,Canada,
Adidas,adidas.com,Ecommerce / Retail,Germany,
iHerb,iherb.com,Ecommerce / Retail,USA,Met at MAG - follow up
StockX,stockx.com,Ecommerce / Retail,USA,Went with Primer - need to re-engage payments team
Amazon,amazon.com,Ecommerce / Retail,USA,
eBay,ebay.com,Ecommerce / Retail,USA,
Walmart,walmart.com,Ecommerce / Retail,USA,
Target,target.com,Ecommerce / Retail,USA,
Best Buy,bestbuy.com,Ecommerce / Retail,USA,
The Home Depot,homedepot.com,Ecommerce / Retail,USA,
Lowe's,lowes.com,Ecommerce / Retail,USA,
Wayfair,wayfair.com,Ecommerce / Retail,USA,RFP with Alexa - not responsive
Chewy,chewy.com,Ecommerce / Retail,USA,
Apple,apple.com,Ecommerce / Retail,USA,
Google,google.com,Ecommerce / Retail,USA,
Costco,costco.com,Ecommerce / Retail,USA,
Macy's,macys.com,Ecommerce / Retail,USA,
Chubb Insurance,chubb.com,Fintech / Crypto / Payments,USA,Met in NY - not responsive - find other stakeholders
Coinbase,coinbase.com,Fintech / Crypto / Payments,USA,
DoorDash,doordash.com,Food Delivery / Restaurants,USA,Speaking with Alodie - end of Q1 timing - looking for another stakeholder
Instacart,instacart.com,Food Delivery / Restaurants,USA,
Grubhub,grubhub.com,Food Delivery / Restaurants,USA,
Starbucks,starbucks.com,Food Delivery / Restaurants,USA,
McDonald's,mcdonalds.com,Food Delivery / Restaurants,USA,
Activision Blizzard,activisionblizzard.com,Gaming,USA,
Electronic Arts,ea.com,Gaming,USA,
Epic Games,epicgames.com,Gaming,USA,Scheduled
Roblox,roblox.com,Gaming,USA,Briana (other SDR) may already be in conversations - check SF
Riot Games,riotgames.com,Gaming,USA,
Take-Two Interactive,take2games.com,Gaming,USA,
Sony Interactive Entertainment,playstation.com,Gaming,Japan,In touch with Nirav Bhakta - likely to launch RFP and include Yuno
Ubisoft,ubisoft.com,Gaming,France,
Zynga,zynga.com,Gaming,USA,Scheduled
FanDuel Sportsbook,fanduel.com,Gaming,USA,
DraftKings,draftkings.com,Gaming,USA,
BetMGM,betmgm.com,Gaming,USA,
Caesars Entertainment,caesars.com,Gaming,USA,
Valve Corporation (Steam),store.steampowered.com,Gaming,USA,
Niantic,nianticlabs.com,Gaming,USA,
Microsoft Gaming (Xbox),xbox.com,Gaming,USA,
AppLovin,applovin.com,Gaming,USA,
Canva,canva.com,SaaS / Productivity,Australia,Follow-up with Joshua - been too pushy
Adobe,adobe.com,SaaS / Productivity,USA,
Zoom,zoom.us,SaaS / Productivity,USA,
Squarespace,squarespace.com,SaaS / Productivity,USA,
Coursera,coursera.org,SaaS / Productivity,USA,In touch with Guillaume - Q1 timing - responsive
Udemy,udemy.com,SaaS / Productivity,USA,
DocuSign,docusign.com,SaaS / Productivity,USA,
Wix,wix.com,SaaS / Productivity,Israel,
Monday.com,monday.com,SaaS / Productivity,Israel,Already integrated an orchestrator - park
Grammarly,grammarly.com,SaaS / Productivity,USA,Uses Gr4vy - reach out to ask why they would leave
Strava,strava.com,SaaS / Productivity,USA,
Peloton,onepeloton.com,SaaS / Productivity,USA,
Calm,calm.com,SaaS / Productivity,USA,
Ticketmaster,ticketmaster.com,Streaming / Media,USA,
Patreon,patreon.com,Streaming / Media,USA,
Eventbrite,eventbrite.com,Streaming / Media,USA,
Roku,roku.com,Streaming / Media,USA,Still have not reached Jason - need to get to him
Disney+,disneyplus.com,Streaming / Media,USA,
Paramount Global,paramount.com,Streaming / Media,USA,Need Recurly integration - keep close until integration
Nas Company,nas.co,Streaming / Media,USA,Will catch up with Alex - project for Q1 2026
New York Times,nytimes.com,Streaming / Media,USA,
SeatGeek,seatgeek.com,Streaming / Media,USA,
Warner Bros Discovery,wbd.com,Streaming / Media,USA,Netflix acquired them
Meta Platforms,meta.com,Streaming / Media,USA,
Netflix,netflix.com,Streaming / Media,USA,
Hulu,hulu.com,Streaming / Media,USA,
Match Group,match.com,Streaming / Media,USA,
