Company,Website,,,Industry
American Airlines,https://aa.com,,,Travel & Hospitality
Best Buy,https://bestbuy.com,,,E-commerce & Retail
Airlo,https://airalo.com,,,Telecom & Connectivity
Delta Air Lines,https://www.delta.com/,,,Travel & Hospitality
Boss Revolution (IDT),https://bossrevolution.com,,,Telecom & Connectivity
ComCast,https://www.xfinity.com/,,,Telecom & Connectivity
WOM,https://wom.com.co,,,Telecom & Connectivity
Lowe's,https://www.lowes.com/,,,E-commerce & Retail
Bait,https://bait.mx,,,Telecom & Connectivity
Tripadvisor,https://www.tripadvisor.com/,,,Media & Streaming
Surf Telecom,https://surftelecom.com.br,,,Telecom & Connectivity
Virgin Mobile Latin America,https://virginmobilelatam.com,,,Telecom & Connectivity
edX (2U),https://edx.org,,,Education
Platzi,https://platzi.com,,,Education
Domestika,https://domestika.org,,,Education
Poliglota,https://poliglota.org,,,Education
UBITS,https://ubits.com,,,Education
Kiwify,https://kiwify.com.br,,,Education
Código Facilito,https://codigofacilito.com,,,Education
DEV.F,https://devf.la,,,Education
Bedu,https://bedu.org,,,Education
Desafío Latam,https://desafiolatam.com,,,Education
Digital House,https://digitalhouse.com,,,Education
Slang,https://slangapp.com,,,Education
AmazingTalker,https://amazingtalker.com,,,Education
MindHub,https://mindhub.com,,,Education
Passline,https://passline.com,,,Marketplaces & Services
Boletia,https://boletia.com,,,Marketplaces & Services
TuBoleta,https://tuboleta.com,,,Marketplaces & Services
Puntoticket,https://puntoticket.com,,,Marketplaces & Services
Joinnus,https://joinnus.com,,,Marketplaces & Services
Eventbrite,https://eventbrite.com,,,Marketplaces & Services
Ingresse,https://ingresse.com,,,Marketplaces & Services
Ticket360,https://ticket360.com.br,,,Marketplaces & Services
Ticketplus,https://ticketplus.cl,,,Marketplaces & Services
Bilheteria Digital,https://bilheteriadigital.com,,,Marketplaces & Services
Ticketera,https://ticketera.com,,,Marketplaces & Services
TicketMundo,https://ticketmundo.com,,,Marketplaces & Services
Tickeri,https://tickeri.com,,,Marketplaces & Services
Uber,https://uber.com,,,Marketplaces & Services
DiDi,https://didiglobal.com,,,Marketplaces & Services
99,https://99app.com,,,Marketplaces & Services
Kavak,https://kavak.com,,,Marketplaces & Services
Picap,https://picap.co,,,Marketplaces & Services
Mottu,https://mottu.com.br,,,Marketplaces & Services
Blacklane,https://blacklane.com,,,Marketplaces & Services
Awto,https://awto.com,,,Marketplaces & Services
Turbi,https://turbi.com.br,,,Marketplaces & Services
Kinto Share,https://kinto-mobility.com.br,,,Marketplaces & Services
Avianca,https://avianca.com,,,Travel & Hospitality
Gol Linhas Aéreas,https://voegol.com.br,,,Travel & Hospitality
Azul,https://voeazul.com.br,,,Travel & Hospitality
Copa Airlines,https://copaair.com,,,Travel & Hospitality
LATAM Airlines,https://latamairlines.com,,,Travel & Hospitality
Aeroméxico,https://aeromexico.com,,,Travel & Hospitality
Aerolíneas Argentinas,https://aerolineas.com.ar,,,Travel & Hospitality
Sky Airline,https://skyairline.com,,,Travel & Hospitality
Caribbean Airlines,https://caribbean-airlines.com,,,Travel & Hospitality
Boliviana de Aviación (BoA),https://boa.bo,,,Travel & Hospitality
EasyFly,https://easyfly.com.co,,,Travel & Hospitality
SATENA,https://satena.com,,,Travel & Hospitality
Cayman Airways,https://caymanairways.com,,,Travel & Hospitality
Bahamasair,https://bahamasair.com,,,Travel & Hospitality
ClickBus,https://clickbus.com.br,,,Travel & Hospitality
Buser,https://buser.com.br,,,Travel & Hospitality
Quero Passagem,https://queropassagem.com.br,,,Travel & Hospitality
Reservamos,https://reservamos.mx,,,Travel & Hospitality
Pinbus,https://pinbus.com,,,Travel & Hospitality
redBus,https://redbus.in,,,Travel & Hospitality
Trainline,https://thetrainline.com,,,Travel & Hospitality
Grupo ADO,https://ado.com.mx,,,Travel & Hospitality
ETN Turistar,https://etn.com.mx,,,Travel & Hospitality
Primera Plus,https://primeraplus.com.mx,,,Travel & Hospitality
Expreso Brasilia,https://expresobrasilia.com,,,Travel & Hospitality
Cruz del Sur,https://cruzdelsur.com.pe,,,Travel & Hospitality
Andesmar,https://andesmar.com,,,Travel & Hospitality
Turbus,https://turbus.cl,,,Travel & Hospitality
DeÔnibus,https://deonibus.com,,,Travel & Hospitality
PasajeBus.com,https://pasajebus.com,,,Travel & Hospitality
BUSPORTAL,https://busportal.cl,,,Travel & Hospitality
Copetran,https://copetran.com,,,Travel & Hospitality
Bolivariano,https://bolivariano.com.co,,,Travel & Hospitality
CIVA,https://civa.com.pe,,,Travel & Hospitality
Pullman Bus,https://pullman.cl,,,Travel & Hospitality
Flecha Bus,https://flechabus.com.ar,,,Travel & Hospitality
Viação Cometa,https://viacaocometa.com.br,,,Travel & Hospitality
Tica Bus,https://ticabus.com,,,Travel & Hospitality
OYO,https://oyorooms.com,,,Travel & Hospitality
Casai,https://casai.com,,,Travel & Hospitality
Meliá Hotels,https://melia.com,,,Travel & Hospitality
RIU Hotels & Resorts,https://riu.com,,,Travel & Hospitality
Iberostar,https://iberostar.com,,,Travel & Hospitality
Barceló Hotel Group,https://barcelo.com,,,Travel & Hospitality
Grupo Posadas,https://posadas.com,,,Travel & Hospitality
Decameron,https://decameron.com,,,Travel & Hospitality
Grupo Xcaret,https://xcaret.com,,,Travel & Hospitality
Karisma Hotels,https://karismahotels.com,,,Travel & Hospitality
Palladium Hotel Group,https://palladiumhotelgroup.com,,,Travel & Hospitality
GHL Hoteles,https://ghlhoteles.com,,,Travel & Hospitality
NH Hotel Group (Minor),https://nh-hotels.com,,,Travel & Hospitality
Atlantica Hospitality Intl,https://atlanticahotels.com.br,,,Travel & Hospitality
Hoteles Estelar,https://hotelesestelar.com,,,Travel & Hospitality
Bourbon Hotéis,https://bourbon.com.br,,,Travel & Hospitality
Blue Tree Hotels,https://bluetree.com.br,,,Travel & Hospitality
Camino Real,https://caminoreal.com,,,Travel & Hospitality
Housi,https://housi.com.br,,,Travel & Hospitality
Che Lagarto Hostels,https://chelagarto.com,,,Travel & Hospitality
Fen Hotels,https://fenhotels.com,,,Travel & Hospitality
Faranda Hotels & Resorts,https://faranda.com,,,Travel & Hospitality
Royal Holiday,https://royal-holiday.com,,,Travel & Hospitality
Fasano,https://fasano.com.br,,,Travel & Hospitality
Bahia Principe (Grupo Piñero),https://bahia-principe.com,,,Travel & Hospitality
Sandals Resorts,https://sandals.com,,,Travel & Hospitality
Viajero Hostels,https://viajerohostels.com,,,Travel & Hospitality
Pariwana Hostels,https://pariwana-hostel.com,,,Travel & Hospitality
Despegar (Decolar),https://despegar.com,,,Travel & Hospitality
Almundo,https://almundo.com,,,Travel & Hospitality
Trip.com,https://trip.com,,,Travel & Hospitality
Hotelbeds,https://hotelbeds.com,,,Travel & Hospitality
